,Time (seconds)
shorten,0.7782526016
shorten,0.5127227306
shorten,0.1224706173
shorten,0.1501290798
shorten,0.6932015419
shorten,0.8649277687
shorten,0.1629815102
shorten,0.5321114063
shorten,0.5660779476
shorten,0.1475553513
shorten,0.4602530003
shorten,0.459240675
shorten,0.6122989655
shorten,0.5311837196
shorten,0.5660588741
shorten,0.9998176098
shorten,0.7913496494
shorten,1.586647987
shorten,0.6666164398
shorten,0.6491253376
shorten,0.4645633698
shorten,0.7002463341
shorten,0.130628109
shorten,0.5813474655
shorten,0.1511964798
shorten,0.5355141163
shorten,0.4917919636
shorten,0.1797399521
shorten,0.1389298439
shorten,0.1392912865
shorten,0.5950319767
shorten,0.4874725342
shorten,0.1492466927
shorten,0.1296858788
shorten,0.1354968548
shorten,0.1165316105
shorten,0.4210364819
shorten,0.1390252113
shorten,0.5805482864
shorten,0.4636716843
shorten,1.090663433
shorten,0.6831674576
shorten,0.1417376995
shorten,0.5463051796
shorten,0.5570845604
shorten,0.4086747169
shorten,0.5449659824
shorten,0.1340103149
shorten,0.7336506844
shorten,0.6067864895
shorten,0.619535923
shorten,0.1297941208
shorten,0.492380619
shorten,0.1265513897
shorten,0.1233069897
shorten,0.681427002
shorten,0.5082192421
shorten,0.4539804459
shorten,0.1256537437
shorten,0.5257058144
shorten,0.1917586327
shorten,0.5066919327
shorten,0.4654402733
shorten,0.5315854549
shorten,0.127106905
shorten,0.1251718998
shorten,0.1181437969
shorten,1.141417742
shorten,0.5518264771
shorten,0.5739672184
shorten,0.460947752
shorten,0.4285986423
shorten,0.123146534
shorten,0.1184668541
shorten,0.1232016087
shorten,0.8554878235
shorten,0.5236644745
shorten,0.1184096336
shorten,0.5930223465
shorten,0.1252682209
shorten,0.6406009197
shorten,0.4266796112
shorten,0.4599540234
shorten,0.4815399647
shorten,0.1129057407
shorten,0.07124972343
shorten,0.5478286743
shorten,0.4574432373
shorten,0.4860351086
shorten,0.4089057446
shorten,0.1411414146
shorten,0.126557827
shorten,0.6010665894
shorten,0.6309874058
shorten,0.864248991
shorten,0.1248130798
shorten,0.1323337555
shorten,0.4456403255
shorten,1.495333195
shorten,0.1453745365
redirect,0.2226212025
redirect,0.1354250908
redirect,0.1996552944
redirect,0.1775150299
redirect,0.1926050186
redirect,0.1622998714
redirect,0.1570415497
redirect,0.1870801449
redirect,0.1780722141
redirect,0.1779046059
redirect,0.1739759445
redirect,0.142531395
redirect,0.1429619789
redirect,0.176112175
redirect,0.1222035885
redirect,0.1327531338
redirect,0.1659932137
redirect,0.1471056938
redirect,0.1675772667
redirect,0.1578915119
redirect,0.1789433956
redirect,0.192909956
redirect,0.160525322
redirect,0.1737546921
redirect,0.1514444351
redirect,0.1540985107
redirect,0.1805846691
redirect,0.1707723141
redirect,0.1748194695
redirect,0.1470520496
redirect,0.1445810795
redirect,0.1219100952
redirect,0.1750540733
redirect,0.1307630539
redirect,0.172303915
redirect,0.1697192192
redirect,0.1463103294
redirect,0.1581132412
redirect,0.1837949753
redirect,0.1588175297
redirect,0.126147747
redirect,0.2026162148
redirect,0.101729393
redirect,0.1283078194
redirect,0.1594316959
redirect,0.1535904408
redirect,0.1282715797
redirect,0.1616969109
redirect,0.1309785843
redirect,0.1515116692
redirect,0.1643784046
redirect,0.1702268124
redirect,0.128824234
redirect,0.1583445072
redirect,0.1294989586
redirect,0.1574435234
redirect,0.1484723091
redirect,0.1720812321
redirect,0.1686038971
redirect,0.1780400276
redirect,0.1629226208
redirect,0.1852807999
redirect,0.1473412514
redirect,0.1511895657
redirect,0.1673624516
redirect,0.1328985691
redirect,0.1228125095
redirect,0.169210434
redirect,0.1521873474
redirect,0.1511704922
redirect,0.1639509201
redirect,0.1748187542
redirect,0.1295335293
redirect,0.1769528389
redirect,0.1682813168
redirect,0.1532194614
redirect,0.1440489292
redirect,0.162902832
redirect,0.1251235008
redirect,0.1407494545
redirect,0.1715493202
redirect,0.1771299839
redirect,0.1524317265
redirect,0.1540291309
redirect,0.1502141953
redirect,0.135187149
redirect,0.1876921654
redirect,0.1573710442
redirect,0.1432571411
redirect,0.1370666027
redirect,0.1552069187
redirect,0.1433699131
redirect,0.1327667236
redirect,0.1655292511
redirect,0.1171648502
redirect,0.1098828316
redirect,0.1507675648
redirect,0.1421663761
redirect,0.148709774
redirect,0.1482703686
SHORT_AV,0.4442158484
REDIR_AV,0.1564751482
cpu,22.5
memory,86.2
throughput,1.058591771
